Cutoff, time
0, 76
1, 45
2, 27
3, 19
4, 26
5, 23
6, 15
7, 41
8, 25
9, 26
10, 25
11, 75
12, 12
13, 19
14, 16
15, 24
16, 33
17, 33
18, 23
19, 16
20, 15
21, 20
22, 21
23, 20
24, 18
25, 11
26, 19
27, 22
28, 29
29, 18
30, 20
