Cutoff, time
0, 365
1, 247
2, 245
3, 238
4, 235
5, 240
6, 261
7, 242
8, 272
9, 260
10, 259
11, 298
12, 287
13, 244
14, 258
15, 261
16, 263
17, 259
18, 260
19, 262
20, 259
21, 257
22, 261
23, 259
24, 259
25, 259
26, 260
27, 258
28, 258
29, 286
30, 330
